,player,playerid,subtype,Shots Made,Total Shots,FG%,Average FG%,FG% Difference
195,A. Edwards,1630162,Floating Jump shot,6.0,14.0,42.857142857142854,40.775771321052716,2.0813715360901384
196,A. Edwards,1630162,Jump Bank Shot,2.0,3.0,66.66666666666666,50.98262359275575,15.684043073910907
197,A. Edwards,1630162,Jump Shot,97.0,250.0,38.800000000000004,33.64356279966131,5.156437200338694
198,A. Edwards,1630162,Layup Shot,11.0,18.0,61.111111111111114,50.050333235610644,11.06077787550047
199,A. Edwards,1630162,Pullup Jump shot,149.0,438.0,34.01826484018265,36.23884787401714,-2.2205830338344867
200,A. Edwards,1630162,Putback Layup Shot,4.0,5.0,80.0,65.41013271254658,14.589867287453416
201,A. Edwards,1630162,Reverse Layup Shot,5.0,5.0,100.0,65.23393086838465,34.76606913161535
202,A. Edwards,1630162,Running Alley Oop Dunk Shot,2.0,2.0,100.0,89.52230455297939,10.477695447020608
203,A. Edwards,1630162,Running Alley Oop Layup Shot,3.0,3.0,100.0,74.22118380062305,25.778816199376948
204,A. Edwards,1630162,Running Dunk Shot,22.0,23.0,95.65217391304348,91.51696398565736,4.1352099273861285
205,A. Edwards,1630162,Running Finger Roll Layup Shot,7.0,9.0,77.77777777777779,76.7796157826837,0.9981619950940797
206,A. Edwards,1630162,Running Jump Shot,9.0,22.0,40.909090909090914,35.632052842171824,5.27703806691909
207,A. Edwards,1630162,Running Layup Shot,35.0,70.0,50.0,59.5547097295744,-9.554709729574398
208,A. Edwards,1630162,Running Pull-Up Jump Shot,13.0,31.0,41.935483870967744,36.13965874933622,5.795825121631523
209,A. Edwards,1630162,Running Reverse Layup Shot,2.0,2.0,100.0,66.85028296356421,33.14971703643579
210,A. Edwards,1630162,Step Back Bank Jump Shot,1.0,1.0,100.0,56.89265536723163,43.10734463276837
211,A. Edwards,1630162,Step Back Jump shot,52.0,131.0,39.69465648854962,35.079155343934865,4.615501144614754
212,A. Edwards,1630162,Tip Layup Shot,2.0,7.0,28.57142857142857,48.863007269564854,-20.291578698136284
213,A. Edwards,1630162,Turnaround Bank shot,2.0,3.0,66.66666666666666,58.83160173160173,7.835064935064928
214,A. Edwards,1630162,Turnaround Fadeaway shot,8.0,27.0,29.629629629629626,34.199880691471094,-4.570251061841468
215,A. Edwards,1630162,Turnaround Hook Shot,1.0,1.0,100.0,43.842343892424,56.157656107576
216,A. Edwards,1630162,Turnaround Jump Shot,3.0,14.0,21.428571428571427,39.10629512709983,-17.6777236985284
217,A. Gill,1630264,Cutting Finger Roll Layup Shot,3.0,3.0,100.0,79.81783739136681,20.182162608633192
218,A. Gill,1630264,Cutting Layup Shot,8.0,11.0,72.72727272727273,70.33553076619971,2.3917419610730235
219,A. Gill,1630264,Driving Finger Roll Layup Shot,1.0,1.0,100.0,62.785599786476254,37.214400213523746
220,A. Gill,1630264,Driving Floating Bank Jump Shot,1.0,2.0,50.0,49.67574935067332,0.3242506493266788
221,A. Gill,1630264,Driving Floating Jump Shot,1.0,4.0,25.0,38.248881327329954,-13.248881327329954
222,A. Gill,1630264,Driving Hook Shot,1.0,4.0,25.0,36.96562291925158,-11.96562291925158
223,A. Gill,1630264,Driving Layup Shot,5.0,9.0,55.55555555555556,45.01602024096154,10.53953531459402
224,A. Gill,1630264,Dunk Shot,1.0,2.0,50.0,84.13380015631027,-34.13380015631027
225,A. Gill,1630264,Floating Jump shot,4.0,6.0,66.66666666666666,40.775771321052716,25.89089534561394
226,A. Gill,1630264,Hook Shot,2.0,3.0,66.66666666666666,45.452274267381924,21.214392399284733
227,A. Gill,1630264,Jump Shot,4.0,27.0,14.814814814814813,33.64356279966131,-18.828747984846498
228,A. Gill,1630264,Layup Shot,12.0,19.0,63.1578947368421,50.050333235610644,13.107561501231459
229,A. Gill,1630264,Pullup Jump shot,0.0,1.0,0.0,36.23884787401714,-36.23884787401714
230,A. Gill,1630264,Putback Layup Shot,5.0,5.0,100.0,65.41013271254658,34.589867287453416
231,A. Gill,1630264,Reverse Layup Shot,2.0,3.0,66.66666666666666,65.23393086838465,1.4327357982820104
232,A. Gill,1630264,Running Dunk Shot,3.0,3.0,100.0,91.51696398565736,8.483036014342645
233,A. Gill,1630264,Running Jump Shot,0.0,1.0,0.0,35.632052842171824,-35.632052842171824
234,A. Gill,1630264,Running Layup Shot,7.0,11.0,63.63636363636363,59.5547097295744,4.081653906789235
235,A. Gill,1630264,Step Back Jump shot,0.0,2.0,0.0,35.079155343934865,-35.079155343934865
236,A. Gill,1630264,Tip Dunk Shot,1.0,1.0,100.0,84.33346026647462,15.666539733525383
237,A. Gill,1630264,Tip Layup Shot,4.0,4.0,100.0,48.863007269564854,51.136992730435146
238,A. Gill,1630264,Turnaround Bank shot,1.0,1.0,100.0,58.83160173160173,41.16839826839827
239,A. Gill,1630264,Turnaround Hook Shot,3.0,6.0,50.0,43.842343892424,6.157656107576003
240,A. Gill,1630264,Turnaround Jump Shot,2.0,3.0,66.66666666666666,39.10629512709983,27.56037153956683
241,A. Gordon,203932,Alley Oop Dunk Shot,35.0,35.0,100.0,87.98424970972546,12.01575029027454
242,A. Gordon,203932,Alley Oop Layup shot,5.0,7.0,71.42857142857143,64.09031610879916,7.338255319772273
243,A. Gordon,203932,Cutting Dunk Shot,47.0,50.0,94.0,90.09392817477068,3.9060718252293185
244,A. Gordon,203932,Cutting Finger Roll Layup Shot,0.0,1.0,0.0,79.81783739136681,-79.81783739136681
245,A. Gordon,203932,Cutting Layup Shot,12.0,22.0,54.54545454545454,70.33553076619971,-15.79007622074517
246,A. Gordon,203932,Driving Dunk Shot,15.0,20.0,75.0,78.87124625983606,-3.871246259836056
247,A. Gordon,203932,Driving Finger Roll Layup Shot,6.0,8.0,75.0,62.785599786476254,12.214400213523746
248,A. Gordon,203932,Driving Floating Bank Jump Shot,3.0,4.0,75.0,49.67574935067332,25.32425064932668
249,A. Gordon,203932,Driving Floating Jump Shot,2.0,8.0,25.0,38.248881327329954,-13.248881327329954
250,A. Gordon,203932,Driving Hook Shot,0.0,4.0,0.0,36.96562291925158,-36.96562291925158
251,A. Gordon,203932,Driving Layup Shot,39.0,88.0,44.31818181818182,45.01602024096154,-0.6978384227797179
252,A. Gordon,203932,Driving Reverse Dunk Shot,3.0,3.0,100.0,75.0,25.0
253,A. Gordon,203932,Driving Reverse Layup Shot,5.0,8.0,62.5,55.503298940477,6.996701059522998
254,A. Gordon,203932,Dunk Shot,45.0,52.0,86.53846153846155,84.13380015631027,2.404661382151275
