player,playerid,subtype,Shots Made,Total Shots,FG%
A. Davis,203076,Running Layup Shot,10.0,14.0,71.42857142857143
A. Davis,203076,Running Pull-Up Jump Shot,1.0,3.0,33.33333333333333
A. Davis,203076,Step Back Jump shot,19.0,45.0,42.22222222222222
A. Davis,203076,Tip Dunk Shot,20.0,25.0,80.0
A. Davis,203076,Tip Layup Shot,22.0,47.0,46.808510638297875
A. Davis,203076,Turnaround Bank shot,1.0,1.0,100.0
A. Davis,203076,Turnaround Fadeaway shot,34.0,81.0,41.9753086419753
A. Davis,203076,Turnaround Hook Shot,27.0,53.0,50.943396226415096
A. Davis,203076,Turnaround Jump Shot,17.0,42.0,40.476190476190474
A. Dosunmu,1630245,Cutting Finger Roll Layup Shot,4.0,4.0,100.0
A. Dosunmu,1630245,Cutting Layup Shot,12.0,16.0,75.0
A. Dosunmu,1630245,Driving Bank Hook Shot,0.0,1.0,0.0
A. Dosunmu,1630245,Driving Dunk Shot,4.0,5.0,80.0
A. Dosunmu,1630245,Driving Finger Roll Layup Shot,20.0,25.0,80.0
A. Dosunmu,1630245,Driving Floating Bank Jump Shot,1.0,7.0,14.285714285714285
A. Dosunmu,1630245,Driving Floating Jump Shot,20.0,33.0,60.60606060606061
A. Dosunmu,1630245,Driving Layup Shot,57.0,97.0,58.76288659793815
A. Dosunmu,1630245,Driving Reverse Layup Shot,7.0,11.0,63.63636363636363
A. Dosunmu,1630245,Finger Roll Layup Shot,1.0,1.0,100.0
A. Dosunmu,1630245,Floating Jump shot,1.0,9.0,11.11111111111111
A. Dosunmu,1630245,Hook Shot,0.0,1.0,0.0
A. Dosunmu,1630245,Jump Bank Shot,0.0,1.0,0.0
A. Dosunmu,1630245,Jump Shot,52.0,174.0,29.88505747126437
A. Dosunmu,1630245,Layup Shot,8.0,17.0,47.05882352941176
A. Dosunmu,1630245,Pullup Jump shot,21.0,53.0,39.62264150943396
A. Dosunmu,1630245,Putback Dunk Shot,1.0,1.0,100.0
A. Dosunmu,1630245,Putback Layup Shot,7.0,9.0,77.77777777777779
A. Dosunmu,1630245,Reverse Layup Shot,1.0,4.0,25.0
A. Dosunmu,1630245,Running Dunk Shot,4.0,4.0,100.0
A. Dosunmu,1630245,Running Finger Roll Layup Shot,14.0,16.0,87.5
A. Dosunmu,1630245,Running Jump Shot,5.0,14.0,35.714285714285715
A. Dosunmu,1630245,Running Layup Shot,34.0,54.0,62.96296296296296
A. Dosunmu,1630245,Running Pull-Up Jump Shot,2.0,3.0,66.66666666666666
A. Dosunmu,1630245,Running Reverse Layup Shot,4.0,6.0,66.66666666666666
A. Dosunmu,1630245,Tip Layup Shot,1.0,4.0,25.0
A. Dosunmu,1630245,Turnaround Fadeaway shot,0.0,1.0,0.0
A. Drummond,203083,Alley Oop Dunk Shot,15.0,16.0,93.75
A. Drummond,203083,Alley Oop Layup shot,4.0,6.0,66.66666666666666
A. Drummond,203083,Cutting Dunk Shot,17.0,19.0,89.47368421052632
A. Drummond,203083,Cutting Finger Roll Layup Shot,2.0,2.0,100.0
A. Drummond,203083,Cutting Layup Shot,10.0,19.0,52.63157894736842
A. Drummond,203083,Driving Dunk Shot,2.0,2.0,100.0
A. Drummond,203083,Driving Finger Roll Layup Shot,0.0,1.0,0.0
A. Drummond,203083,Driving Floating Bank Jump Shot,2.0,3.0,66.66666666666666
A. Drummond,203083,Driving Floating Jump Shot,2.0,6.0,33.33333333333333
A. Drummond,203083,Driving Hook Shot,2.0,2.0,100.0
A. Drummond,203083,Driving Layup Shot,10.0,24.0,41.66666666666667
A. Drummond,203083,Dunk Shot,12.0,18.0,66.66666666666666
A. Drummond,203083,Fadeaway Jump Shot,0.0,1.0,0.0
A. Drummond,203083,Floating Jump shot,3.0,5.0,60.0
A. Drummond,203083,Hook Shot,8.0,12.0,66.66666666666666
A. Drummond,203083,Jump Bank Shot,0.0,2.0,0.0
A. Drummond,203083,Jump Shot,0.0,2.0,0.0
A. Drummond,203083,Layup Shot,13.0,22.0,59.09090909090909
A. Drummond,203083,Putback Dunk Shot,4.0,4.0,100.0
A. Drummond,203083,Putback Layup Shot,11.0,22.0,50.0
A. Drummond,203083,Reverse Layup Shot,3.0,5.0,60.0
A. Drummond,203083,Running Alley Oop Dunk Shot,2.0,2.0,100.0
A. Drummond,203083,Running Dunk Shot,9.0,10.0,90.0
A. Drummond,203083,Running Finger Roll Layup Shot,0.0,1.0,0.0
A. Drummond,203083,Running Layup Shot,3.0,5.0,60.0
A. Drummond,203083,Tip Dunk Shot,6.0,6.0,100.0
A. Drummond,203083,Tip Layup Shot,24.0,51.0,47.05882352941176
A. Drummond,203083,Turnaround Hook Shot,6.0,11.0,54.54545454545454
A. Drummond,203083,Turnaround Jump Shot,0.0,1.0,0.0
A. Edwards,1630162,Alley Oop Dunk Shot,1.0,1.0,100.0
